time,sale,rating
2020-06-17 18:26:28,1,Zdecydowanie tak
2020-06-17 18:28:13,1,Tak
2020-06-17 19:10:08,2,nie
2020-06-17 20:16:42,2,Trudno powiedzieć
2020-06-17 22:57:12,3,Trudno powiedzieć
2020-06-18 04:15:46,3,Zdecydowanie nie
2020-06-18 10:02:21,1,Tak
2020-06-18 10:04:46,1,Raczej tak
2020-06-18 10:06:44,1,Tak
2020-06-18 10:08:52,1,Tak
2020-06-18 10:09:53,1,Zdecydowanie tak
2020-06-18 10:10:03,1,Zdecydowanie tak
2020-06-18 10:11:28,1,Zdecydowanie tak
2020-06-18 10:14:48,1,Zdecydowanie tak
2020-06-18 10:16:16,1,Raczej tak
2020-06-18 10:24:45,2,Zdecydowanie tak
2020-06-18 10:28:35,1,Zdecydowanie nie
2020-06-18 10:30:40,1,Tak
2020-06-18 10:51:02,1,nie
2020-06-18 10:57:35,1,Tak
2020-06-18 11:14:31,1,Raczej tak
2020-06-18 11:19:47,1,Tak
2020-06-18 11:21:55,1,Raczej tak
2020-06-18 11:21:57,1,Raczej nie
2020-06-18 11:23:15,1,Zdecydowanie tak
2020-06-18 11:24:11,1,nie
2020-06-18 11:25:46,1,Zdecydowanie tak
2020-06-18 11:25:57,1,Zdecydowanie tak
2020-06-18 11:26:35,2,Raczej tak
2020-06-18 11:28:01,1,Raczej nie
2020-06-18 11:31:09,1,Zdecydowanie tak
2020-06-18 11:35:51,1,Raczej nie
2020-06-18 11:36:28,1,Raczej nie
2020-06-18 11:40:32,3,Zdecydowanie tak
2020-06-18 11:41:37,3,Tak
2020-06-18 11:49:15,3,Raczej nie
2020-06-18 11:52:10,1,nie
2020-06-18 11:52:11,1,Tak
2020-06-18 11:56:25,1,Tak
2020-06-18 11:58:28,2,Raczej nie
2020-06-18 12:00:10,1,Trudno powiedzieć
2020-06-18 12:02:52,1,Zdecydowanie tak
2020-06-18 12:08:13,1,Zdecydowanie nie
2020-06-18 12:13:23,1,Raczej tak
2020-06-18 12:38:27,1,Tak
2020-06-18 12:43:27,1,Tak
2020-06-18 12:49:45,2,Raczej tak
2020-06-18 13:12:59,1,Zdecydowanie tak
2020-06-18 13:18:29,1,Trudno powiedzieć
2020-06-18 13:23:11,1,Trudno powiedzieć
2020-06-18 13:44:17,,Tak
2020-06-18 14:00:12,2,Raczej nie
2020-06-18 14:02:38,1,Zdecydowanie tak
2020-06-18 14:31:40,3,Raczej nie
2020-06-18 14:34:02,1,Raczej tak
2020-06-18 14:34:27,1,Zdecydowanie tak
2020-06-18 14:45:51,1,Zdecydowanie tak
2020-06-18 14:57:36,2,Zdecydowanie nie
2020-06-18 14:58:31,1,Zdecydowanie tak
2020-06-18 15:03:30,2,Tak
2020-06-18 15:09:57,2,nie
2020-06-18 15:14:37,1,Raczej tak
2020-06-18 15:26:13,2,nie
2020-06-18 15:35:45,1,Zdecydowanie tak
2020-06-18 15:51:45,2,Zdecydowanie tak
2020-06-18 15:53:21,1,nie
2020-06-18 16:01:14,2,Tak
2020-06-18 16:04:55,1,Zdecydowanie tak
2020-06-18 16:04:58,1,Raczej nie
2020-06-18 16:14:31,3,Zdecydowanie tak
2020-06-18 16:20:29,2,Raczej tak
2020-06-18 16:44:11,1,Zdecydowanie tak
2020-06-18 16:44:53,2,
2020-06-18 16:57:16,1,Trudno powiedzieć
2020-06-18 17:26:21,2,Zdecydowanie tak
2020-06-18 18:13:46,1,Raczej nie
2020-06-18 18:22:52,2,Zdecydowanie tak
2020-06-18 18:22:56,2,Zdecydowanie nie
2020-06-18 18:25:36,1,nie
2020-06-18 18:25:39,2,Zdecydowanie tak
2020-06-18 18:28:34,1,Raczej tak
2020-06-18 18:29:26,1,Raczej nie
2020-06-18 18:30:45,1,Trudno powiedzieć
2020-06-18 18:51:18,1,Zdecydowanie nie
2020-06-18 18:53:19,1,Zdecydowanie nie
2020-06-18 18:57:53,2,Zdecydowanie nie
2020-06-18 19:08:30,4,Tak
2020-06-18 19:18:22,2,Tak
2020-06-18 19:20:16,2,Tak
2020-06-18 19:21:41,2,Raczej tak
2020-06-18 19:34:30,2,Zdecydowanie tak
2020-06-18 19:42:08,2,Tak
2020-06-18 19:42:33,2,Zdecydowanie tak
2020-06-18 19:50:20,2,Raczej tak
2020-06-18 19:52:14,2,Raczej nie
2020-06-18 20:00:56,1,Zdecydowanie nie
2020-06-18 20:06:33,2,Zdecydowanie tak
2020-06-18 20:14:22,1,Zdecydowanie tak
2020-06-18 20:16:57,1,Zdecydowanie tak
2020-06-18 20:17:57,2,Zdecydowanie tak
2020-06-18 20:35:45,3,Zdecydowanie tak
2020-06-18 20:49:38,2,Raczej nie
2020-06-18 21:06:01,1,Raczej nie
2020-06-18 21:08:29,2,Trudno powiedzieć
2020-06-18 21:35:59,2,Zdecydowanie tak
2020-06-18 21:57:26,1,Zdecydowanie tak
2020-06-18 22:18:38,2,Zdecydowanie tak
2020-06-18 22:19:41,2,Zdecydowanie tak
2020-06-18 22:24:29,1,Zdecydowanie tak
2020-06-18 22:41:32,3,Tak
2020-06-19 00:09:24,3,Zdecydowanie tak
2020-06-19 00:45:34,,Zdecydowanie tak
2020-06-19 01:04:39,1,Zdecydowanie tak
2020-06-19 02:38:15,1,Trudno powiedzieć
2020-06-19 09:09:20,2,Zdecydowanie tak
2020-06-19 09:24:44,3,Raczej tak
2020-06-19 09:44:01,3,Trudno powiedzieć
2020-06-19 10:02:32,1,Zdecydowanie tak
2020-06-19 10:09:03,2,Tak
2020-06-19 10:27:18,1,Zdecydowanie nie
2020-06-19 10:43:45,1,Raczej nie
2020-06-19 10:46:36,4,Tak
2020-06-19 11:57:35,1,Raczej nie
2020-06-19 13:32:56,2,Raczej tak
2020-06-19 13:36:02,2,Zdecydowanie nie
2020-06-19 14:01:14,2,Trudno powiedzieć
2020-06-19 16:35:50,1,Zdecydowanie tak
2020-06-19 16:50:20,2,Trudno powiedzieć
2020-06-19 18:56:38,3,Raczej nie
2020-06-19 20:00:00,3,Raczej nie
2020-06-19 20:17:44,1,Tak
2020-06-19 21:27:40,1,Tak
2020-06-19 21:30:21,1,Zdecydowanie tak
2020-06-19 21:37:08,1,Zdecydowanie tak
2020-06-19 22:31:59,2,Trudno powiedzieć
2020-06-19 22:33:43,2,Trudno powiedzieć
2020-06-19 22:34:42,,
2020-06-19 22:55:17,3,Zdecydowanie tak
2020-06-19 23:08:12,2,nie
2020-06-19 23:20:16,3,Raczej nie
2020-06-19 23:31:56,1,Zdecydowanie nie
2020-06-20 07:53:12,2,Trudno powiedzieć
2020-06-20 10:32:35,1,Raczej nie
2020-06-20 14:20:20,1,Raczej tak
2020-06-20 14:25:18,1,nie
2020-06-20 14:51:48,2,Zdecydowanie nie
2020-06-20 14:51:54,3,Zdecydowanie tak
2020-06-20 16:40:02,1,Raczej nie
2020-06-20 20:19:38,2,Zdecydowanie tak
2020-06-20 22:58:36,2,Zdecydowanie nie
2020-06-20 23:00:26,3,Zdecydowanie tak
2020-06-20 23:01:57,3,Trudno powiedzieć
2020-06-20 23:04:10,3,Tak
2020-06-20 23:05:59,2,Zdecydowanie tak
2020-06-20 23:07:23,3,Trudno powiedzieć
2020-06-20 23:07:41,2,Zdecydowanie tak
2020-06-20 23:10:18,1,Zdecydowanie nie
2020-06-20 23:10:57,,Zdecydowanie tak
2020-06-20 23:20:18,2,Tak
2020-06-20 23:23:33,3,Tak
2020-06-20 23:42:46,1,Trudno powiedzieć
2020-06-20 23:53:37,4,Zdecydowanie tak
2020-06-21 00:09:52,2,Zdecydowanie tak
2020-06-21 00:23:23,,Zdecydowanie nie
2020-06-21 00:38:31,3,Tak
2020-06-21 00:39:25,3,Zdecydowanie tak
2020-06-21 04:50:19,1,
2020-06-21 09:14:48,2,Zdecydowanie tak
2020-06-21 10:40:40,2,
2020-06-21 11:07:10,2,Tak
2020-06-21 11:15:28,2,Zdecydowanie tak
2020-06-21 12:24:19,1,Tak
2020-06-21 13:40:08,2,Zdecydowanie tak
2020-06-21 14:19:08,2,Raczej nie
2020-06-21 14:19:15,2,Raczej nie
2020-06-21 17:23:23,2,Tak
2020-06-21 18:40:25,4,nie
2020-06-21 20:02:54,2,
2020-06-21 20:09:27,3,Raczej tak
2020-06-21 20:17:46,1,Raczej tak
2020-06-21 20:45:45,4,Zdecydowanie nie
2020-06-21 22:23:46,2,Zdecydowanie tak
2020-06-22 00:00:40,4,Zdecydowanie tak
2020-06-22 01:39:16,1,Tak
2020-06-22 06:38:46,1,Zdecydowanie tak
2020-06-22 11:09:37,2,Raczej nie
2020-06-22 11:38:00,2,Zdecydowanie nie
2020-06-22 11:48:47,2,Zdecydowanie nie
2020-06-22 11:49:32,2,nie
2020-06-22 11:49:50,2,Zdecydowanie tak
2020-06-22 11:54:22,1,Raczej nie
2020-06-22 11:54:34,1,Zdecydowanie nie
2020-06-22 11:54:41,1,Raczej nie
2020-06-22 11:56:06,2,Tak
2020-06-22 11:56:20,2,nie
2020-06-22 11:56:46,1,Raczej tak
2020-06-22 11:56:59,3,nie
2020-06-22 11:59:51,5,Zdecydowanie nie
2020-06-22 12:00:16,1,nie
2020-06-22 12:00:43,1,Zdecydowanie tak
2020-06-22 12:00:48,1,Tak
2020-06-22 12:02:15,1,Raczej nie
2020-06-22 12:02:16,2,Zdecydowanie tak
2020-06-22 12:02:31,4,Zdecydowanie tak
2020-06-22 12:02:39,1,Tak
2020-06-22 12:02:51,2,Raczej nie
2020-06-22 12:03:32,2,Zdecydowanie nie
2020-06-22 12:03:45,3,Zdecydowanie tak
2020-06-22 12:04:27,1,Zdecydowanie tak
2020-06-22 12:04:48,2,Tak
2020-06-22 12:04:59,1,Zdecydowanie nie
2020-06-22 12:05:05,2,Trudno powiedzieć
2020-06-22 12:07:05,2,nie
2020-06-22 12:07:09,1,nie
2020-06-22 12:07:40,2,nie
2020-06-22 12:08:18,2,Zdecydowanie tak
2020-06-22 12:09:07,1,Raczej nie
2020-06-22 12:09:12,3,Trudno powiedzieć
2020-06-22 12:09:19,4,Raczej nie
2020-06-22 12:09:32,2,Zdecydowanie tak
2020-06-22 12:10:13,2,Raczej nie
2020-06-22 12:10:47,3,Zdecydowanie tak
2020-06-22 12:11:22,1,Zdecydowanie tak
2020-06-22 12:11:24,1,Zdecydowanie tak
2020-06-22 12:12:09,1,Raczej nie
2020-06-22 12:12:12,2,Zdecydowanie nie
2020-06-22 12:12:28,1,Trudno powiedzieć
2020-06-22 12:12:33,1,Raczej nie
2020-06-22 12:13:52,4,Trudno powiedzieć
2020-06-22 12:13:53,2,Zdecydowanie nie
2020-06-22 12:14:03,1,Trudno powiedzieć
2020-06-22 12:14:34,3,Zdecydowanie nie
2020-06-22 12:14:59,2,Raczej nie
2020-06-22 12:15:19,1,Zdecydowanie tak
2020-06-22 12:17:49,4,Zdecydowanie tak
2020-06-22 12:17:55,2,Zdecydowanie nie
2020-06-22 12:18:03,1,Tak
2020-06-22 12:18:09,3,Tak
2020-06-22 12:18:23,2,nie
2020-06-22 12:19:28,2,Tak
2020-06-22 12:20:13,3,Zdecydowanie nie
2020-06-22 12:20:53,2,Zdecydowanie nie
2020-06-22 12:23:09,3,nie
2020-06-22 12:23:25,1,Zdecydowanie tak
2020-06-22 12:23:26,2,Raczej tak
2020-06-22 12:24:19,1,Raczej nie
2020-06-22 12:25:00,,Trudno powiedzieć
2020-06-22 12:25:07,1,Raczej nie
2020-06-22 12:27:54,2,Raczej tak
2020-06-22 12:29:02,1,Raczej tak
2020-06-22 12:31:44,2,Zdecydowanie tak
2020-06-22 12:35:51,2,Zdecydowanie nie
2020-06-22 12:36:00,3,Raczej tak
2020-06-22 12:36:53,2,Zdecydowanie tak
2020-06-22 12:41:58,4,Raczej nie
2020-06-22 12:43:44,3,Raczej tak
2020-06-22 12:47:46,2,Tak
2020-06-22 12:50:01,2,Zdecydowanie tak
2020-06-22 12:52:24,1,Raczej nie
2020-06-22 12:53:22,3,Zdecydowanie nie
2020-06-22 12:53:47,2,nie
2020-06-22 12:54:14,2,Zdecydowanie tak
2020-06-22 12:54:47,1,Raczej tak
2020-06-22 12:57:35,3,Raczej tak
2020-06-22 12:58:29,1,Raczej nie
2020-06-22 13:01:49,2,Zdecydowanie nie
2020-06-22 13:03:31,2,Zdecydowanie tak
2020-06-22 13:04:53,1,Trudno powiedzieć
2020-06-22 13:05:03,2,Raczej nie
2020-06-22 13:05:23,2,Trudno powiedzieć
2020-06-22 13:05:31,1,Raczej nie
2020-06-22 13:07:11,1,Zdecydowanie tak
2020-06-22 13:10:58,1,Zdecydowanie tak
2020-06-22 13:12:20,2,Raczej nie
2020-06-22 13:13:10,2,Raczej nie
2020-06-22 13:16:57,3,Zdecydowanie nie
2020-06-22 13:20:02,1,Tak
2020-06-22 13:24:45,2,Zdecydowanie nie
2020-06-22 13:24:47,1,Zdecydowanie tak
2020-06-22 13:28:04,2,Raczej nie
2020-06-22 13:31:14,2,Zdecydowanie nie
2020-06-22 13:33:07,,Trudno powiedzieć
